﻿name,original,category,size1,size2,url,price,discount,score,
Disney Animators' Collection Tiana Mini Doll Play Set,The Princess and the Frog,Animators' Dolls,,,https://www.shopdisney.com/disney-animators-collection-tiana-mini-doll-play-set-460021570393.html,$19.95 ,,,
Disney Animators' Collection Snow White Doll,Snow White,Animators' Dolls,,16'',https://www.shopdisney.com/disney-animators-collection-snow-white-doll-16-460020241973.html,$29.95 ,,5,
Disney Animators' Collection Pocahontas Mini Doll Play Set,Pocahontas,Animators' Dolls,,,https://www.shopdisney.com/disney-animators-collection-pocahontas-mini-doll-play-set-460021570478.html,$19.95 ,,,
Disney Animators' Collection Moana Doll,Origins Series,Animators' Dolls,,,https://www.shopdisney.com/disney-animators-collection-moana-doll-origins-series-460022289133.html,$24.95 ,,,
Disney Animators' Collection Ariel Plush Doll,The Little Mermaid,Animators' Dolls,Small,13'',https://www.shopdisney.com/disney-animators-collection-ariel-plush-doll-small-13-412339743921.html,$14.95 ,2 OR MORE $12 EACH,,
Disney Animators' Collection Snow White Plush Doll,Snow White,Animators' Dolls,Small,,https://www.shopdisney.com/disney-animators-collection-snow-white-plush-doll--small-412339744348.html,$14.95 ,2 OR MORE $12 EACH,5,
Disney Animators' Collection Belle Doll,Beauty and the Beast,Animators' Dolls,,16'',https://www.shopdisney.com/disney-animators-collection-belle-doll-beauty-and-the-beast-16-460020241065.html,$29.95 ,,,
Disney Animators' Collection Rapunzel Plush Doll,Rapunzel,Animators' Dolls,Small,12'',https://www.shopdisney.com/disney-animators-collection-rapunzel-plush-doll-small-12-412336106996.html,$14.95 ,2 OR MORE $12 EACH,,
Disney Animators' Collection Tinker Bell Plush Doll,Tinker Bell,Animators' Dolls,Small,,https://www.shopdisney.com/disney-animators-collection-tinker-bell-plush-doll-small-412339744188.html,$14.95 ,2 OR MORE $12 EACH,,
Disney Animators' Collection Belle Plush Doll,Sleeping Beauty,Animators' Dolls,Small,,https://www.shopdisney.com/disney-animators-collection-belle-plush-doll-small-412335989026.html,$14.95 ,2 OR MORE $12 EACH,4.5,
Disney Animators' Collection Aurora Doll,Sleeping Beauty,Animators' Dolls,,16'',https://www.shopdisney.com/disney-animators-collection-aurora-doll-sleeping-beauty-16-460020241898.html,$29.95 ,,3,
Disney Animators' Collection Pocahontas Doll,Pocahontas,Animators' Dolls,,16'',https://www.shopdisney.com/disney-animators-collection-pocahontas-doll-16-460020241713.html,$29.95 ,,1,
Moana Plush Doll,Moana,Plush Dolls,Medium,,https://www.shopdisney.com/moana-plush-doll-medium-412336013911.html,$19.95 ,2 OR MORE $18 EACH,5,
Mulan Plush Doll,Mulan,Plush Dolls,Medium,,https://www.shopdisney.com/mulan-plush-doll-medium-412338285804.html,$19.95 ,2 OR MORE $18 EACH,,
Little Bo Peep Plush,Toy Story 4,Plush Dolls,Medium,18 1/2'',https://www.shopdisney.com/little-bo-peep-plush-toy-story-4-medium-18-12-412331032313.html,$19.95 ,2 OR MORE $18 EACH,3.7,
Elsa Plush Doll,Frozen,Plush Dolls,Medium,,https://www.shopdisney.com/elsa-plush-doll-frozen-medium-412338285569.html,$19.95 ,2 OR MORE $18 EACH,5,
